"","EmployeeID","age","length_of_service","gender_short","termtype_desc","length_categ","emp_categ","age_dec","EStatus","ESY"
"48209",1396,60,19,"M","Voluntary","C","Management","60s",1,3
"48210",1397,65,24,"F","Voluntary","C","Management","60s",1,8
"48211",1399,65,24,"F","Voluntary","C","Management","60s",1,8
"48212",1400,65,24,"F","Voluntary","C","Worker","60s",1,8
"48213",1401,65,25,"F","Voluntary","C","Management","60s",1,8
"48214",1402,65,24,"F","Voluntary","C","Worker","60s",1,8
"48215",1403,60,19,"M","Voluntary","C","Management","60s",1,3
"48216",1404,65,24,"F","Voluntary","C","Worker","60s",1,8
"48217",1405,60,19,"M","Voluntary","C","Worker","60s",1,3
"48218",1406,60,19,"M","Voluntary","C","Worker","60s",1,3
"48219",1408,65,24,"F","Voluntary","C","Management","60s",1,8
"48220",1409,60,19,"M","Voluntary","C","Worker","60s",1,3
"48221",1411,65,25,"F","Voluntary","C","Worker","60s",1,8
"48222",1412,60,19,"M","Voluntary","C","Worker","60s",1,3
"48223",1413,60,19,"M","Voluntary","C","Worker","60s",1,3
"48224",1414,60,19,"M","Voluntary","C","Worker","60s",1,3
"48225",1417,65,24,"F","Voluntary","C","Management","60s",1,8
"48226",1419,65,24,"F","Voluntary","C","Management","60s",1,8
"48227",1421,60,19,"M","Voluntary","C","Management","60s",1,3
"48228",1422,60,19,"M","Voluntary","C","Worker","60s",1,3
"48229",1425,60,19,"M","Voluntary","C","Worker","60s",1,3
"48230",1427,65,24,"F","Voluntary","C","Management","60s",1,8
"48231",1428,60,19,"M","Voluntary","C","Management","60s",1,3
"48232",1430,60,19,"M","Voluntary","C","Worker","60s",1,3
"48233",1431,60,19,"M","Voluntary","C","Management","60s",1,3
"48234",1433,65,24,"F","Voluntary","C","Management","60s",1,8
"48235",1434,60,19,"M","Voluntary","C","Management","60s",1,3
"48236",1435,60,19,"M","Voluntary","C","Management","60s",1,3
"48237",1436,65,24,"F","Voluntary","C","Management","60s",1,8
"48238",1438,60,20,"M","Voluntary","C","Worker","60s",1,3
"48239",1439,60,19,"M","Voluntary","C","Management","60s",1,3
"48240",1440,60,19,"M","Voluntary","C","Worker","60s",1,3
"48241",1441,65,24,"F","Voluntary","C","Worker","60s",1,8
"48242",1442,65,24,"F","Voluntary","C","Management","60s",1,8
"48243",1444,65,24,"F","Voluntary","C","Management","60s",1,8
"48244",1445,60,19,"M","Voluntary","C","Management","60s",1,3
"48245",1446,65,24,"F","Voluntary","C","Management","60s",1,8
"48246",1447,60,19,"M","Voluntary","C","Worker","60s",1,3
"48247",1448,60,19,"M","Voluntary","C","Worker","60s",1,3
"48248",1449,65,24,"F","Voluntary","C","Management","60s",1,8
"48249",1453,60,19,"M","Voluntary","C","Worker","60s",1,3
"48250",1456,65,24,"F","Voluntary","C","Management","60s",1,8
"48251",1458,60,19,"M","Voluntary","C","Worker","60s",1,3
"48252",1460,60,19,"M","Voluntary","C","Worker","60s",1,3
"48253",1461,65,24,"F","Voluntary","C","Worker","60s",1,8
"48254",1463,65,24,"F","Voluntary","C","Worker","60s",1,8
"48255",1465,65,24,"F","Voluntary","C","Management","60s",1,8
"48256",1466,60,19,"M","Voluntary","C","Management","60s",1,3
"48257",1469,60,19,"M","Voluntary","C","Worker","60s",1,3
"48258",1470,65,24,"F","Voluntary","C","Worker","60s",1,8
"48259",1474,65,24,"F","Voluntary","C","Management","60s",1,8
"48260",1475,65,24,"F","Voluntary","C","Worker","60s",1,8
"48261",1476,60,19,"M","Voluntary","C","Management","60s",1,3
"48262",1480,65,24,"F","Voluntary","C","Worker","60s",1,8
"48263",1481,65,24,"F","Voluntary","C","Management","60s",1,8
"48264",1482,60,19,"M","Voluntary","C","Management","60s",1,3
"48265",1483,65,24,"F","Voluntary","C","Management","60s",1,8
"48266",1484,57,17,"M","Voluntary","C","Worker","50s",1,1
"48267",1485,65,24,"F","Voluntary","C","Worker","60s",1,8
"48268",1486,60,19,"M","Voluntary","C","Worker","60s",1,3
"48269",1487,60,19,"M","Voluntary","C","Worker","60s",1,3
"48270",1488,60,19,"M","Voluntary","C","Worker","60s",1,3
"48271",1489,65,24,"F","Voluntary","C","Management","60s",1,8
"48272",1490,65,24,"F","Voluntary","C","Worker","60s",1,8
"48273",1491,65,24,"F","Voluntary","C","Management","60s",1,8
"48274",1492,65,24,"F","Voluntary","C","Management","60s",1,8
"48275",1494,60,19,"M","Voluntary","C","Worker","60s",1,3
"48276",1495,65,24,"F","Voluntary","C","Management","60s",1,8
"48277",1497,65,24,"F","Voluntary","C","Worker","60s",1,8
"48278",1498,65,24,"F","Voluntary","C","Worker","60s",1,8
"48279",1499,65,24,"F","Voluntary","C","Worker","60s",1,8
"48280",1500,65,24,"F","Voluntary","C","Worker","60s",1,8
"48281",1502,65,24,"F","Voluntary","C","Management","60s",1,8
"48282",1512,60,19,"M","Voluntary","C","Management","60s",1,3
"48283",1513,65,24,"F","Voluntary","C","Management","60s",1,9
"48284",1516,65,24,"F","Voluntary","C","Worker","60s",1,9
"48285",1517,60,19,"M","Voluntary","C","Worker","60s",1,4
"48286",1522,65,24,"F","Voluntary","C","Management","60s",1,9
"48287",1523,60,19,"M","Voluntary","C","Worker","60s",1,4
"48288",1524,65,24,"F","Voluntary","C","Worker","60s",1,9
"48289",1527,65,24,"F","Voluntary","C","Worker","60s",1,9
"48290",1528,60,20,"M","Voluntary","C","Worker","60s",1,4
"48291",1529,60,19,"M","Voluntary","C","Worker","60s",1,4
"48292",1530,65,24,"F","Voluntary","C","Management","60s",1,9
"48293",1532,60,19,"M","Voluntary","C","Worker","60s",1,4
"48294",1533,65,24,"F","Voluntary","C","Worker","60s",1,9
"48295",1534,65,24,"F","Voluntary","C","Management","60s",1,9
"48296",1535,60,19,"M","Voluntary","C","Worker","60s",1,4
"48297",1536,60,19,"M","Voluntary","C","Management","60s",1,4
"48298",1538,65,24,"F","Voluntary","C","Worker","60s",1,9
"48299",1541,65,24,"F","Voluntary","C","Worker","60s",1,9
"48300",1542,65,24,"F","Voluntary","C","Management","60s",1,9
"48301",1543,65,24,"F","Voluntary","C","Worker","60s",1,9
"48302",1544,60,19,"M","Voluntary","C","Management","60s",1,4
"48303",1545,64,24,"F","Involuntary","C","Worker","60s",1,8
"48304",1546,60,19,"M","Voluntary","C","Management","60s",1,4
"48305",1547,65,24,"F","Voluntary","C","Management","60s",1,9
"48306",1548,65,24,"F","Voluntary","C","Worker","60s",1,9
"48307",1549,60,19,"M","Voluntary","C","Worker","60s",1,4
"48308",1550,60,19,"M","Voluntary","C","Worker","60s",1,4
"48309",1552,65,24,"F","Voluntary","C","Management","60s",1,9
"48310",1553,60,19,"M","Voluntary","C","Worker","60s",1,4
"48311",1554,60,20,"M","Voluntary","C","Worker","60s",1,4
"48312",1556,60,19,"M","Voluntary","C","Worker","60s",1,4
"48313",1558,65,24,"F","Voluntary","C","Management","60s",1,9
"48314",1559,60,19,"M","Voluntary","C","Worker","60s",1,4
"48315",1560,65,24,"F","Voluntary","C","Worker","60s",1,9
"48316",1562,65,24,"F","Voluntary","C","Management","60s",1,9
"48317",1566,60,20,"M","Voluntary","C","Worker","60s",1,4
"48318",1567,65,25,"F","Voluntary","C","Worker","60s",1,9
"48319",1568,65,25,"F","Voluntary","C","Management","60s",1,9
"48320",1569,60,20,"M","Voluntary","C","Worker","60s",1,4
"48321",1571,65,25,"F","Voluntary","C","Worker","60s",1,9
"48322",1573,60,19,"M","Voluntary","C","Management","60s",1,4
"48323",1574,60,19,"M","Voluntary","C","Worker","60s",1,4
"48324",1575,60,19,"M","Voluntary","C","Worker","60s",1,4
"48325",1578,65,25,"F","Voluntary","C","Worker","60s",1,9
"48326",1579,65,25,"F","Voluntary","C","Worker","60s",1,9
"48327",1580,65,25,"F","Voluntary","C","Management","60s",1,9
"48328",1581,60,20,"M","Voluntary","C","Management","60s",1,4
"48329",1585,60,20,"M","Voluntary","C","Worker","60s",1,4
"48330",1586,60,20,"M","Voluntary","C","Worker","60s",1,4
"48331",1587,65,25,"F","Voluntary","C","Management","60s",1,9
"48332",1588,60,20,"M","Voluntary","C","Worker","60s",1,4
"48333",1589,65,25,"F","Voluntary","C","Management","60s",1,9
"48334",1590,60,20,"M","Voluntary","C","Management","60s",1,4
"48335",1592,65,25,"F","Voluntary","C","Worker","60s",1,9
"48336",1593,60,20,"M","Voluntary","C","Management","60s",1,4
"48337",1594,65,25,"F","Voluntary","C","Worker","60s",1,9
"48338",1595,65,25,"F","Voluntary","C","Management","60s",1,9
"48339",1596,60,20,"M","Voluntary","C","Worker","60s",1,4
"48340",1597,60,20,"M","Voluntary","C","Worker","60s",1,4
"48341",1598,65,25,"F","Voluntary","C","Worker","60s",1,9
"48342",1599,60,20,"M","Voluntary","C","Management","60s",1,4
"48343",1600,60,20,"M","Voluntary","C","Worker","60s",1,4
"48344",1603,65,25,"F","Voluntary","C","Management","60s",1,9
"48345",1610,60,20,"M","Voluntary","C","Worker","60s",1,4
"48346",1611,60,20,"M","Voluntary","C","Management","60s",1,4
"48347",1612,65,25,"F","Voluntary","C","Management","60s",1,9
"48348",1613,64,24,"M","Involuntary","C","Management","60s",1,8
"48349",1615,65,25,"F","Voluntary","C","Management","60s",1,9
"48350",1616,65,25,"F","Voluntary","C","Worker","60s",1,9
"48351",1617,65,25,"F","Voluntary","C","Worker","60s",1,9
"48352",1618,65,25,"F","Voluntary","C","Management","60s",1,9
"48353",1619,65,25,"F","Voluntary","C","Worker","60s",1,9
"48354",1621,65,25,"F","Voluntary","C","Worker","60s",1,9
"48355",1624,60,20,"F","Voluntary","C","Worker","60s",1,5
"48356",1627,65,25,"F","Voluntary","C","Management","60s",1,9
"48357",1628,65,25,"F","Voluntary","C","Worker","60s",1,9
"48358",1631,65,25,"F","Voluntary","C","Management","60s",1,9
"48359",1632,65,25,"F","Voluntary","C","Management","60s",1,9
"48360",1633,65,25,"F","Voluntary","C","Worker","60s",1,9
"48361",1634,65,25,"F","Voluntary","C","Management","60s",1,9
"48362",1636,60,20,"M","Voluntary","C","Management","60s",1,4
"48363",1638,65,25,"F","Voluntary","C","Management","60s",1,9
"48364",1640,60,20,"M","Voluntary","C","Worker","60s",1,4
"48365",1642,60,20,"M","Voluntary","C","Management","60s",1,4
"48366",1643,65,25,"F","Voluntary","C","Management","60s",1,9
"48367",1644,60,20,"M","Voluntary","C","Worker","60s",1,4
"48368",1645,60,20,"M","Voluntary","C","Management","60s",1,4
"48369",1647,60,20,"M","Voluntary","C","Worker","60s",1,4
"48370",1650,65,25,"F","Voluntary","C","Worker","60s",1,9
"48371",1651,65,25,"F","Voluntary","C","Management","60s",1,9
"48372",1652,60,20,"M","Voluntary","C","Worker","60s",1,4
"48373",1653,61,21,"F","Voluntary","C","Management","60s",1,5
"48374",1655,65,25,"F","Voluntary","C","Worker","60s",1,9
"48375",1656,65,25,"F","Voluntary","C","Management","60s",1,9
"48376",1658,60,20,"M","Voluntary","C","Management","60s",1,4
"48377",1662,60,20,"M","Voluntary","C","Management","60s",1,4
"48378",1664,65,25,"F","Voluntary","C","Management","60s",1,9
"48379",1668,65,25,"F","Voluntary","C","Worker","60s",1,9
"48380",1670,60,20,"M","Voluntary","C","Worker","60s",1,4
"48381",1671,60,20,"M","Voluntary","C","Management","60s",1,4
"48382",1672,65,25,"F","Voluntary","C","Management","60s",1,9
"48383",1673,65,25,"F","Voluntary","C","Management","60s",1,9
"48384",1674,65,25,"F","Voluntary","C","Management","60s",1,9
"48385",1677,65,25,"F","Voluntary","C","Worker","60s",1,9
"48386",1680,65,25,"F","Voluntary","C","Worker","60s",1,9
"48387",1683,60,20,"M","Voluntary","C","Worker","60s",1,4
"48388",1684,65,25,"F","Voluntary","C","Management","60s",1,9
"48389",1687,65,25,"F","Voluntary","C","Management","60s",1,9
"48390",1690,65,25,"F","Voluntary","C","Worker","60s",1,9
"48391",1691,65,25,"F","Voluntary","C","Worker","60s",1,9
"48392",1693,65,25,"F","Voluntary","C","Worker","60s",1,9
"48393",1695,65,25,"F","Voluntary","C","Management","60s",1,9
"48394",1700,64,25,"M","Involuntary","C","Worker","60s",1,9
"1551",1703,64,25,"F","Not Applicable","C","Management","60s",0,9
"1561",1705,64,25,"M","Not Applicable","C","Management","60s",0,9
"1571",1706,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1581",1710,64,25,"M","Not Applicable","C","Management","60s",0,9
"48395",1711,64,25,"M","Involuntary","C","Worker","60s",1,9
"1600",1713,64,25,"F","Not Applicable","C","Management","60s",0,9
"48396",1714,56,17,"M","Voluntary","C","Worker","50s",1,1
"1611",1715,64,25,"F","Not Applicable","C","Management","60s",0,9
"1621",1716,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1631",1717,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1641",1718,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1651",1719,64,25,"M","Not Applicable","C","Management","60s",0,9
"1661",1720,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1671",1721,64,25,"M","Not Applicable","C","Worker","60s",0,9
"48397",1722,64,25,"M","Involuntary","C","Worker","60s",1,9
"1690",1726,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1700",1728,64,25,"F","Not Applicable","C","Management","60s",0,9
"48398",1730,64,25,"F","Involuntary","C","Worker","60s",1,9
"1719",1732,64,25,"M","Not Applicable","C","Management","60s",0,9
"1729",1733,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1739",1734,64,25,"F","Not Applicable","C","Management","60s",0,9
"1749",1735,64,25,"M","Not Applicable","C","Management","60s",0,9
"1759",1736,64,25,"M","Not Applicable","C","Management","60s",0,9
"1769",1739,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1779",1740,64,25,"M","Not Applicable","C","Management","60s",0,9
"1789",1741,64,25,"M","Not Applicable","C","Management","60s",0,9
"48399",1742,64,25,"M","Involuntary","C","Worker","60s",1,9
"1808",1743,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1818",1744,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1828",1745,64,25,"M","Not Applicable","C","Management","60s",0,9
"1838",1750,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1848",1754,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1858",1755,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1868",1757,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1878",1758,64,25,"F","Not Applicable","C","Management","60s",0,9
"1888",1762,64,25,"F","Not Applicable","C","Worker","60s",0,9
"1898",1763,64,25,"M","Not Applicable","C","Management","60s",0,9
"1908",1767,64,25,"M","Not Applicable","C","Management","60s",0,9
"1918",1768,64,25,"M","Not Applicable","C","Management","60s",0,9
"1928",1769,64,25,"M","Not Applicable","C","Management","60s",0,9
"1938",1770,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1948",1771,64,25,"M","Not Applicable","C","Management","60s",0,9
"1958",1773,64,25,"M","Not Applicable","C","Worker","60s",0,9
"1968",1774,64,25,"M","Not Applicable","C","Management","60s",0,9
"1978",1775,64,25,"M","Not Applicable","C","Management","60s",0,9
"1988",1776,64,25,"M","Not Applicable","C","Management","60s",0,9
"1998",1777,64,25,"F","Not Applicable","C","Worker","60s",0,9
"2008",1779,64,25,"F","Not Applicable","C","Worker","60s",0,9
"48400",1780,64,25,"F","Involuntary","C","Management","60s",1,9
"48401",1781,64,25,"F","Involuntary","C","Management","60s",1,9
"48402",1783,64,25,"F","Involuntary","C","Worker","60s",1,9
"48403",1784,64,25,"M","Involuntary","C","Worker","60s",1,9
"2054",1786,64,25,"F","Not Applicable","C","Management","60s",0,9
"48404",1787,64,25,"F","Involuntary","C","Management","60s",1,9
"48405",1788,64,25,"F","Involuntary","C","Management","60s",1,9
"48406",1789,64,25,"F","Involuntary","C","Worker","60s",1,9
"2091",1790,64,25,"F","Not Applicable","C","Worker","60s",0,9
"2101",1791,64,25,"M","Not Applicable","C","Worker","60s",0,9
"48407",1792,64,25,"F","Involuntary","C","Worker","60s",1,9
"2120",1793,64,25,"M","Not Applicable","C","Management","60s",0,9
"2130",1794,64,24,"M","Not Applicable","C","Management","60s",0,9
"48408",1795,64,24,"F","Involuntary","C","Worker","60s",1,9
"48409",1799,64,24,"M","Involuntary","C","Management","60s",1,9
"2158",1800,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2168",1801,64,24,"F","Not Applicable","C","Management","60s",0,9
"2178",1802,64,24,"F","Not Applicable","C","Management","60s",0,9
"2188",1803,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2198",1804,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2208",1806,64,24,"F","Not Applicable","C","Management","60s",0,9
"2218",1808,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2228",1810,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2238",1811,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2248",1812,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2258",1814,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2268",1816,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2278",1817,64,24,"M","Not Applicable","C","Management","60s",0,9
"2288",1820,64,24,"F","Not Applicable","C","Worker","60s",0,9
"48410",1823,55,16,"M","Voluntary","C","Worker","50s",1,1
"2299",1825,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2309",1827,64,24,"F","Not Applicable","C","Management","60s",0,9
"2319",1829,64,24,"M","Not Applicable","C","Management","60s",0,9
"2329",1830,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2339",1831,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2349",1834,64,24,"M","Not Applicable","C","Management","60s",0,9
"2359",1835,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2369",1836,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2379",1839,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2389",1840,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2399",1841,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2409",1844,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2419",1845,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2429",1846,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2439",1848,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2449",1849,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2459",1850,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2469",1851,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2479",1852,64,24,"M","Not Applicable","C","Management","60s",0,9
"2489",1853,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2499",1855,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2509",1856,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2519",1857,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2529",1858,64,24,"M","Not Applicable","C","Worker","60s",0,9
"48411",1859,64,24,"M","Involuntary","C","Management","60s",1,9
"2548",1860,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2558",1862,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2568",1864,64,24,"F","Not Applicable","C","Worker","60s",0,9
"2578",1865,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2588",1866,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2598",1868,64,24,"M","Not Applicable","C","Worker","60s",0,9
"2608",1869,64,24,"M","Not Applicable","C","Management","60s",0,9
"2618",1870,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2628",1871,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2638",1873,63,24,"F","Not Applicable","C","Management","60s",0,9
"2648",1875,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2658",1876,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2668",1877,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2678",1878,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2688",1879,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2698",1880,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2708",1881,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2718",1882,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2728",1884,63,24,"M","Not Applicable","C","Worker","60s",0,9
"48412",1885,59,20,"F","Voluntary","C","Worker","50s",1,6
"2744",1888,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2754",1892,63,24,"M","Not Applicable","C","Worker","60s",0,9
"48413",1894,63,24,"F","Involuntary","C","Worker","60s",1,9
"2773",1895,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2783",1896,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2793",1898,63,24,"M","Not Applicable","C","Management","60s",0,9
"2803",1899,63,24,"F","Not Applicable","C","Management","60s",0,9
"2813",1900,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2823",1901,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2833",1902,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2843",1905,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2853",1906,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2863",1907,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2873",1908,63,24,"M","Not Applicable","C","Management","60s",0,9
"2883",1909,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2893",1910,63,24,"F","Not Applicable","C","Management","60s",0,9
"2903",1911,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2913",1915,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2923",1916,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2933",1919,63,24,"M","Not Applicable","C","Worker","60s",0,9
"48414",1920,62,23,"F","Involuntary","C","Worker","60s",1,8
"2951",1921,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2961",1922,63,24,"F","Not Applicable","C","Worker","60s",0,9
"2971",1923,63,24,"M","Not Applicable","C","Worker","60s",0,9
"2981",1924,63,24,"M","Not Applicable","C","Management","60s",0,9
"2991",1926,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3001",1927,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3011",1928,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3021",1929,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3031",1931,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3041",1932,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3051",1934,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3061",1937,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3071",1938,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3081",1942,63,24,"F","Not Applicable","C","Management","60s",0,9
"48415",1943,62,23,"M","Involuntary","C","Management","60s",1,8
"3099",1944,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3109",1945,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3119",1946,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3129",1948,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3139",1953,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3149",1954,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3159",1955,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3169",1956,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3179",1959,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3189",1960,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3199",1961,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3209",1963,63,24,"M","Not Applicable","C","Management","60s",0,9
"3219",1964,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3229",1965,63,24,"M","Not Applicable","C","Management","60s",0,9
"3239",1970,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3249",1971,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3259",1972,63,24,"F","Not Applicable","C","Worker","60s",0,9
"3269",1973,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3279",1975,63,24,"F","Not Applicable","C","Management","60s",0,9
"3289",1977,63,24,"M","Not Applicable","C","Worker","60s",0,9
"3299",1978,63,24,"F","Not Applicable","C","Management","60s",0,9
"3309",1979,63,24,"M","Not Applicable","C","Worker","60s",0,9
