"","EmployeeID","recorddate_key","birthdate_key","orighiredate_key","terminationdate_key","age","length_of_service","city_name","department_name","job_title","store_name","gender_short","gender_full","termreason_desc","termtype_desc","STATUS_YEAR","STATUS","BUSINESS_UNIT"
"48259",1474,"11/1/2014 0:00","11/2/1949","2/5/1990","11/2/2014",65,24,"Fort St John","Meats","Meats Manager",12,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48260",1475,"11/1/2014 0:00","11/4/1949","2/6/1990","11/4/2014",65,24,"Vancouver","HR Technology","HRIS Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48261",1476,"11/1/2009 0:00","11/7/1949","2/7/1990","11/7/2009",60,19,"Bella Bella","Store Management","Store Manager",3,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48262",1480,"11/1/2014 0:00","11/13/1949","2/10/1990","11/13/2014",65,24,"Vancouver","HR Technology","HRIS Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48263",1481,"11/1/2014 0:00","11/12/1949","2/10/1990","11/12/2014",65,24,"Cranbrook","Store Management","Store Manager",8,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48264",1482,"11/1/2009 0:00","11/16/1949","2/12/1990","11/16/2009",60,19,"Quesnel","Produce","Produce Manager",28,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48265",1483,"11/1/2014 0:00","11/22/1949","2/15/1990","11/22/2014",65,24,"Williams Lake","Meats","Meats Manager",40,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48266",1484,"7/1/2007 0:00","11/22/1949","2/15/1990","7/25/2007",57,17,"Vancouver","HR Technology","HRIS Analyst",35,"M","Male","Resignaton","Voluntary",2007,"TERMINATED","HEADOFFICE"
"48267",1485,"11/1/2014 0:00","11/22/1949","2/15/1990","11/22/2014",65,24,"Vancouver","HR Technology","HRIS Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48268",1486,"11/1/2009 0:00","11/24/1949","2/16/1990","11/24/2009",60,19,"Vancouver","Employee Records","Benefits Admin",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48269",1487,"11/1/2009 0:00","11/25/1949","2/17/1990","11/25/2009",60,19,"Vancouver","HR Technology","HRIS Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48270",1488,"11/1/2009 0:00","11/25/1949","2/17/1990","11/25/2009",60,19,"Vancouver","Employee Records","Benefits Admin",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48271",1489,"11/1/2014 0:00","11/27/1949","2/18/1990","11/27/2014",65,24,"Victoria","Processed Foods","Processed Foods Manager",46,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48272",1490,"11/1/2014 0:00","11/30/1949","2/19/1990","11/30/2014",65,24,"Vernon","Dairy","Dairy Person",36,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48273",1491,"11/1/2014 0:00","11/30/1949","2/19/1990","11/30/2014",65,24,"Trail","Store Management","Store Manager",33,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48274",1492,"12/1/2014 0:00","12/2/1949","2/20/1990","12/2/2014",65,24,"Victoria","Customer Service","Customer Service Manager",46,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48275",1494,"12/1/2009 0:00","12/3/1949","2/21/1990","12/3/2009",60,19,"Victoria","Meats","Meat Cutter",37,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48276",1495,"12/1/2014 0:00","12/4/1949","2/22/1990","12/4/2014",65,24,"Vernon","Processed Foods","Processed Foods Manager",36,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48277",1497,"12/1/2014 0:00","12/13/1949","2/26/1990","12/13/2014",65,24,"Vancouver","Employee Records","Benefits Admin",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48278",1498,"12/1/2014 0:00","12/14/1949","2/27/1990","12/14/2014",65,24,"Vancouver","Employee Records","Benefits Admin",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48279",1499,"12/1/2014 0:00","12/15/1949","2/27/1990","12/15/2014",65,24,"Victoria","Meats","Meat Cutter",37,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48280",1500,"12/1/2014 0:00","12/19/1949","3/1/1990","12/19/2014",65,24,"Vancouver","Employee Records","Benefits Admin",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48281",1502,"12/1/2014 0:00","12/20/1949","3/2/1990","12/20/2014",65,24,"Prince George","Store Management","Store Manager",26,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48282",1512,"12/1/2009 0:00","12/30/1949","3/7/1990","12/30/2009",60,19,"Cranbrook","Meats","Meats Manager",8,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48283",1513,"1/1/2015 0:00","1/1/1950","3/8/1990","1/1/2015",65,24,"Richmond","Store Management","Store Manager",29,"F","Female","Retirement","Voluntary",2015,"TERMINATED","STORES"
"48284",1516,"1/1/2015 0:00","1/5/1950","3/10/1990","1/5/2015",65,24,"Vancouver","Compensation","Compensation Analyst",35,"F","Female","Retirement","Voluntary",2015,"TERMINATED","HEADOFFICE"
"48285",1517,"1/1/2010 0:00","1/5/1950","3/10/1990","1/5/2010",60,19,"Vancouver","Compensation","Compensation Analyst",35,"M","Male","Retirement","Voluntary",2010,"TERMINATED","HEADOFFICE"
"48286",1522,"1/1/2015 0:00","1/15/1950","3/16/1990","1/15/2015",65,24,"Kelowna","Customer Service","Customer Service Manager",16,"F","Female","Retirement","Voluntary",2015,"TERMINATED","STORES"
"48287",1523,"1/1/2010 0:00","1/19/1950","3/18/1990","1/19/2010",60,19,"Vancouver","Compensation","Compensation Analyst",35,"M","Male","Retirement","Voluntary",2010,"TERMINATED","HEADOFFICE"
"48288",1524,"1/1/2015 0:00","1/21/1950","3/19/1990","1/21/2015",65,24,"Vancouver","Accounts Receiveable","Accounts Receiveable Clerk",35,"F","Female","Retirement","Voluntary",2015,"TERMINATED","HEADOFFICE"
"48289",1527,"1/1/2015 0:00","1/31/1950","3/24/1990","1/31/2015",65,24,"Terrace","Dairy","Dairy Person",32,"F","Female","Retirement","Voluntary",2015,"TERMINATED","STORES"
